Campaign,Ad Group,Keyword,Match Type,Final URL,Labels
MY AVTO Search,Поршни общее,[поршни купить алматы],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[купить поршни],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршни цена],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршни на двигатель],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршни для капремонта],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршни японские],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршни оригинал],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршневая группа],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршни алматы],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршни казахстан],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршни для японских авто],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршни на капремонт],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[оригинальные поршни],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[поршни в наличии],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,[купить поршни алматы],Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Кольца общее,[кольца поршневые],Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,[кольца поршневые купить],Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,[кольца поршневые цена],Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,[кольца поршневые алматы],Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,[кольца на двигатель],Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,[кольца компрессионные],Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
