Campaign,Ad Group,Keyword,Match Type,Final URL,Labels
MY AVTO Search,Поршни общее,поршни купить алматы,Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,купить поршни,Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,поршни цена,Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,поршни на двигатель,Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,комплект поршней,Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,поршневая группа,Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,поршневая группа купить,Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,поршневая группа цена,Exact,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,поршни купить,Phrase,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,поршни алматы,Phrase,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,поршневая группа алматы,Phrase,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Поршни общее,купить поршневую группу,Phrase,https://my-avto.kz/zapchasti/porshni/,
MY AVTO Search,Кольца общее,кольца поршневые,Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,кольца поршневые купить,Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,кольца поршневые цена,Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,поршневые кольца алматы,Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,комплект поршневых колец,Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,ремонтные кольца,Exact,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,купить поршневые кольца,Phrase,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,поршневые кольца на двигатель,Phrase,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
MY AVTO Search,Кольца общее,кольца поршневые ремонтные,Phrase,https://my-avto.kz/zapchasti/koltsa-porshnevye/,
